Phased data for CzeV327 Cyg, Phased with elements 2457625.32162 + 0.3713408 * E

HJD            MAG     ERROR   PHASE    HELCOR		EPOCH           BAND 	 OBSERVER 
2457625.35242  0.0048  0.0054  0.0621  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.35389  -0.0185  0.0054  0.0660  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.35535  -0.0338  0.0054  0.0700  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.35682  -0.0610  0.0054  0.0739  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.35828  -0.0722  0.0052  0.0779  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.35975  -0.0933  0.0052  0.0818  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.36121  -0.1016  0.0052  0.0857  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.36268  -0.1233  0.0052  0.0897  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.36561  -0.1490  0.0052  0.0976  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.36708  -0.1621  0.0050  0.1016  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.36854  -0.1581  0.0052  0.1055  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.37001  -0.1827  0.0051  0.1094  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.37147  -0.1971  0.0050  0.1134  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.37294  -0.1939  0.0050  0.1173  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.37587  -0.2121  0.0050  0.1252  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.37734  -0.2214  0.0051  0.1292  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.37880  -0.2292  0.0050  0.1331  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.38027  -0.2381  0.0049  0.1371  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.38173  -0.2407  0.0050  0.1410  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.38320  -0.2446  0.0050  0.1450  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.38466  -0.2503  0.0050  0.1489  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.38612  -0.2592  0.0049  0.1528  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.38759  -0.2653  0.0049  0.1568  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.38905  -0.2697  0.0049  0.1607  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.39051  -0.2799  0.0050  0.1646  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.39197  -0.2883  0.0050  0.1686  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.39343  -0.2830  0.0052  0.1725  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.39635  -0.2968  0.0053  0.1804  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457631.27701  0.1923  0.0174  0.0167  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.27847  0.1673  0.0153  0.0206  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.27994  0.1664  0.0134  0.0246  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.28140  0.1630  0.0121  0.0285  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.28287  0.1570  0.0110  0.0324  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.28433  0.1305  0.0098  0.0364  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.28580  0.1190  0.0094  0.0403  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.28726  0.0895  0.0084  0.0443  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.28873  0.0923  0.0083  0.0482  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.29019  0.0677  0.0075  0.0522  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.29165  0.0332  0.0071  0.0561  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.29312  0.0152  0.0069  0.0600  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.29458  -0.0099  0.0067  0.0640  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.29604  -0.0173  0.0065  0.0679  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.29750  -0.0396  0.0062  0.0718  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.29896  -0.0565  0.0062  0.0758  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.30042  -0.0804  0.0060  0.0797  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.30188  -0.0948  0.0061  0.0836  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.30335  -0.1025  0.0059  0.0876  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.30481  -0.1230  0.0057  0.0915  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.30627  -0.1381  0.0057  0.0955  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.30773  -0.1593  0.0060  0.0994  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.30919  -0.1601  0.0056  0.1033  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.31065  -0.1854  0.0058  0.1073  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.31211  -0.1691  0.0058  0.1112  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.31358  -0.1874  0.0057  0.1151  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.31505  -0.1973  0.0055  0.1191  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.31651  -0.2074  0.0055  0.1230  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.31797  -0.2075  0.0055  0.1270  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.31943  -0.2218  0.0055  0.1309  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.32089  -0.2234  0.0054  0.1348  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.32235  -0.2264  0.0099  0.1388  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.32381  -0.2346  0.0055  0.1427  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.32528  -0.2537  0.0055  0.1467  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.32674  -0.2490  0.0054  0.1506  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.32820  -0.2642  0.0053  0.1545  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.32966  -0.2707  0.0053  0.1584  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.33113  -0.2711  0.0052  0.1624  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.33259  -0.2767  0.0053  0.1663  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.33406  -0.2933  0.0053  0.1703  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.33552  -0.2996  0.0053  0.1742  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.33698  -0.2834  0.0053  0.1782  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.33845  -0.2934  0.0052  0.1821  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.33992  -0.3029  0.0053  0.1861  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.34138  -0.3057  0.0052  0.1900  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.34285  -0.3109  0.0053  0.1940  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.34432  -0.3156  0.0053  0.1979  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.34578  -0.3229  0.0052  0.2019  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.34724  -0.3336  0.0052  0.2058  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.34871  -0.3241  0.0051  0.2097  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.35017  -0.3273  0.0053  0.2137  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.35163  -0.3230  0.0051  0.2176  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.35310  -0.3341  0.0052  0.2216  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.35456  -0.3224  0.0053  0.2255  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.35603  -0.3238  0.0053  0.2295  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.35749  -0.3442  0.0053  0.2334  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.35896  -0.3389  0.0051  0.2373  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.36043  -0.3378  0.0053  0.2413  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.36189  -0.3318  0.0052  0.2452  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.36336  -0.3458  0.0054  0.2492  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.36482  -0.3322  0.0051  0.2531  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.36628  -0.3412  0.0052  0.2571  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.36775  -0.3382  0.0052  0.2610  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.36922  -0.3268  0.0053  0.2650  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.37068  -0.3332  0.0051  0.2689  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.37215  -0.3285  0.0053  0.2729  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.37361  -0.3292  0.0051  0.2768  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.37508  -0.3217  0.0053  0.2808  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.37655  -0.3259  0.0052  0.2847  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.37802  -0.3162  0.0056  0.2887  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.37948  -0.3168  0.0051  0.2926  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.38095  -0.3105  0.0050  0.2966  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.38242  -0.2960  0.0053  0.3005  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.38388  -0.2942  0.0052  0.3045  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.38534  -0.3066  0.0052  0.3084  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.38680  -0.2910  0.0051  0.3123  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.38827  -0.2903  0.0052  0.3163  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.38973  -0.2798  0.0051  0.3202  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.39119  -0.2711  0.0053  0.3241  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.39265  -0.2752  0.0051  0.3281  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.39411  -0.2671  0.0054  0.3320  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.39558  -0.2590  0.0052  0.3360  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.39850  -0.2493  0.0052  0.3438  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.40143  -0.2230  0.0052  0.3517  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.40289  -0.2157  0.0054  0.3557  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.40436  -0.2023  0.0054  0.3596  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.40582  -0.2085  0.0052  0.3635  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.40729  -0.1978  0.0054  0.3675  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.41021  -0.1785  0.0055  0.3754  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.41167  -0.1735  0.0056  0.3793  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.41314  -0.1487  0.0056  0.3833  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457631.41460  -0.1435  0.0058  0.3872  +0.0040   	4753   	Clear 	 Václav Pøibík 
2457633.31491  0.0650  0.0066  0.5046  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.31637  0.0629  0.0066  0.5085  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.31784  0.0652  0.0064  0.5125  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.31931  0.0637  0.0068  0.5165  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.32077  0.0637  0.0065  0.5204  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.32224  0.0601  0.0065  0.5244  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.32370  0.0585  0.0064  0.5283  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.32663  0.0148  0.0064  0.5362  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.32810  -0.0042  0.0063  0.5401  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.32957  0.0017  0.0062  0.5441  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.33103  -0.0228  0.0066  0.5480  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.33250  -0.0425  0.0083  0.5520  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.33396  -0.0718  0.0091  0.5559  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.33543  -0.0683  0.0076  0.5599  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.33689  -0.0933  0.0069  0.5638  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.33836  -0.0992  0.0076  0.5678  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.33982  -0.1138  0.0064  0.5717  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.34129  -0.1341  0.0062  0.5757  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.34275  -0.1330  0.0060  0.5796  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.34421  -0.1431  0.0062  0.5835  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.34568  -0.1668  0.0061  0.5875  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.34714  -0.1771  0.0088  0.5914  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.34862  -0.1695  0.0081  0.5954  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.35008  -0.1631  0.0094  0.5993  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.35154  -0.2025  0.0064  0.6033  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.35300  -0.2186  0.0060  0.6072  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.35447  -0.2110  0.0060  0.6111  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.35593  -0.2188  0.0062  0.6151  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.35739  -0.2315  0.0060  0.6190  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.35885  -0.2365  0.0060  0.6229  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.36031  -0.2458  0.0058  0.6269  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.36178  -0.2528  0.0058  0.6308  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.36324  -0.2586  0.0058  0.6348  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.36471  -0.2603  0.0058  0.6387  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.36617  -0.2743  0.0056  0.6427  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.36764  -0.2759  0.0060  0.6466  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.36910  -0.2823  0.0059  0.6505  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.37057  -0.2889  0.0058  0.6545  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.37203  -0.2817  0.0057  0.6584  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.37350  -0.2927  0.0056  0.6624  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.37496  -0.2919  0.0063  0.6663  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.37643  -0.3026  0.0058  0.6703  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.37790  -0.3043  0.0066  0.6742  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.37936  -0.2775  0.0305  0.6782  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.38083  -0.3224  0.0422  0.6821  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.38229  -0.3735  0.0968  0.6861  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.38376  -0.3410  0.0366  0.6900  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.38522  -0.3379  0.0230  0.6940  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.38668  -0.3204  0.0156  0.6979  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.38815  -0.3398  0.0164  0.7018  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.38961  -0.3297  0.0059  0.7058  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.39108  -0.3311  0.0056  0.7097  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.39254  -0.3250  0.0055  0.7137  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.39401  -0.3263  0.0057  0.7176  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.39694  -0.3440  0.0094  0.7255  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.39840  -0.3430  0.0076  0.7294  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.39987  -0.3147  0.0079  0.7334  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.40133  -0.3448  0.0066  0.7373  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.40280  -0.3244  0.0063  0.7413  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.40426  -0.3192  0.0056  0.7452  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.40573  -0.3083  0.0060  0.7492  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.40719  -0.3242  0.0082  0.7531  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.40866  -0.3566  0.0111  0.7571  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.41012  -0.3345  0.0112  0.7610  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.41159  -0.3136  0.0074  0.7650  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.41305  -0.2945  0.0056  0.7689  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.41452  -0.2989  0.0075  0.7729  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.41598  -0.2945  0.0056  0.7768  +0.0040   	4758   	Clear 	 Václav Pøibík 
2457633.41744  -0.2930  0.0116  0.7807  +0.0040   	4758   	Clear 	 Václav Pøibík 
